"Nama Game","Ukuran","Lokasi"
"ResetterEpson.XP-235-235A-332-332A-335-432-435","2.34 MB","cgi/bin/assets/files/ResetterEpson.XP-235-235A-332-332A-335-432-435.rar"
"ResetterEpson.XP-520.XP-620.XP-720.XP-760.XP-820.XP-860","2.28 MB","cgi/bin/assets/files/ResetterEpson.XP-520.XP-620.XP-720.XP-760.XP-820.XP-860.rar"
"ResetterEpson.XP-7100","8.17 MB","cgi/bin/assets/files/ResetterEpson.XP-7100.rar"
"Resetter_Epson_M1100_M1120(V10)","3.99 MB","cgi/bin/assets/files/Resetter_Epson_M1100_M1120(V10).zip"
"Reset_Epson_WF3520_WF-3540","852 KB","cgi/bin/assets/files/Reset_Epson_WF3520_WF-3540.zip"
"Reset_Epson_WF3720_WF-3723","4.00 MB","cgi/bin/assets/files/Reset_Epson_WF3720_WF-3723.zip"
"rufus-4.11p","1.85 MB","cgi/bin/assets/files/rufus-4.11p.exe"
"SID.Retail.Pro.v6.1.2.7","33.18 MB","https://drive.google.com/file/d/1UpXf0ShcwFUdpg_3rrenULcXKW9kVLvk/view?usp=drive_link"
"1 vs 100 240x320 K800i","339 KB","cgi/bin/assets/files/1 vs 100 240x320 K800i.jar"
"1000 Words 240x320 s40v3a","243 KB","cgi/bin/assets/files/1000 Words 240x320 s40v3a.jar"
"12x1 Solitaire 240x320 K800i W910i K850i","724 KB","cgi/bin/assets/files/12x1 Solitaire 240x320 K800i W910i K850i.jar"
"2 in 1 - Downtown Texas Hold'em and 12x1 Solitaire 240x320 K800i","1.35 MB","cgi/bin/assets/files/2 in 1 - Downtown Texas Hold'em and 12x1 Solitaire 240x320 K800i.jar"
"2-4-1 War Bundle (C&C 4 - Tiberian Twilight and MoH) 240x320 C905 K850i K800i","1.96 MB","cgi/bin/assets/files/2-4-1 War Bundle (C&C 4 - Tiberian Twilight and MoH) 240x320 C905 K850i K800i.jar"
"2004 Real Football 240x320 E1000","189 KB","cgi/bin/assets/files/2004 Real Football 240x320 E1000.jar"
"2005 Real Football 240x320 s40v3a","201 KB","cgi/bin/assets/files/2005 Real Football 240x320 s40v3a.jar"
"2006 Real Football 240x320","308 KB","cgi/bin/assets/files/2006 Real Football 240x320.jar"
"2010 FIFA World Cup South Africa 240x320 E75 N96 N95","906 KB","cgi/bin/assets/files/2010 FIFA World Cup South Africa 240x320 E75 N96 N95.jar"
"2014 FIFA World Cup Brazil 240x320 Nokia 5000d 6500s 6500c 5310XM 208","1.65 MB","cgi/bin/assets/files/2014 FIFA World Cup Brazil 240x320 Nokia 5000d 6500s 6500c 5310XM 208.jar"
"A Good Day to Die Hard 240x320 K800i","1.56 MB","cgi/bin/assets/files/A Good Day to Die Hard 240x320 K800i.jar"
"A Prendre Ou A Laisser - 2nde Edition 240x320 FRK800i","620 KB","cgi/bin/assets/files/A Prendre Ou A Laisser - 2nde Edition 240x320 FRK800i.jar"
"A prendre ou à laisser 240x320 FR K800i W900i","244 KB","cgi/bin/assets/files/A prendre ou à laisser 240x320 FR K800i W900i.jar"
"Abracadaball 240x320 K800i W890i K810i K770i K790i K850i","591 KB","cgi/bin/assets/files/Abracadaball 240x320 K800i W890i K810i K770i K790i K850i.jar"
"ACB 2008 - El Videojuego Oficial 240x320 SPA s40v3a","489 KB","cgi/bin/assets/files/ACB 2008 - El Videojuego Oficial 240x320 SPA s40v3a.jar"
"Affari Tuoi 240x320 ITA s40v3a","244 KB","cgi/bin/assets/files/Affari Tuoi 240x320 ITA s40v3a.jar"
"Air Strike 1944 - Flight for Freedom 240x320 K800i W900i S700i","294 KB","cgi/bin/assets/files/Air Strike 1944 - Flight for Freedom 240x320 K800i W900i S700i.jar"
"Alien Quarantine 240x320 K800i","1.87 MB","cgi/bin/assets/files/Alien Quarantine 240x320 K800i.jar"
